# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	12	-20	24
100	7	-15	25
200	10	-16	8
300	12	-21	29
400	5	-14	14
500	10	-22	24
600	8	-21	29
700	8	-19	22
800	12	-24	33
900	7	-26	27
1000	8	-22	23
1100	12	-33	39
1200	6	-29	33
1300	10	-32	37
1400	12	-39	46
1500	5	-39	38
1600	10	-42	47
1700	12	-52	58
1800	5	-45	47
1900	12	-58	63
2000	7	-62	70
2100	8	-62	65
2200	133	4	-121
2300	-53	8	54
2400	-58	8	60
2500	-51	2	69
2600	-53	8	54
2700	-44	7	41
2800	-38	5	56
2900	-39	8	38
3000	-33	6	37
3100	-30	0	40
3200	-33	9	26
3300	-20	6	34
3400	-25	0	25
3500	-20	9	18
3600	-12	4	27
3700	-17	8	19
3800	-10	12	18
3900	-9	4	20
4000	-13	9	9
4100	-5	8	15
4200	0	5	16
4300	-4	9	6
4400	-2	4	12
4500	-9	0	16
4600	-8	12	5
4700	0	4	14
4800	-10	0	12
4900	-4	8	5
5000	0	4	19
5100	-13	10	12
5200	-13	0	18
5300	-12	0	25
5400	-34	8	13
5500	-15	4	24
5600	-21	0	27
5700	-26	9	21
5800	-24	4	34
5900	-31	8	33
6000	-33	9	33
6100	-32	4	41
6200	-39	10	41
6300	-39	8	43
6400	-38	14	56
6500	-52	8	51
6600	-53	6	57
6700	-58	5	70
6800	134	-122	0
6900	-59	71	0
7000	-70	82	6
7100	-68	83	0
7200	-59	70	5
7300	-56	73	6
7400	-52	70	0
7500	-45	58	12
7600	-47	59	0
7700	-40	58	-11
7800	-38	31	9
7900	-39	55	0
8000	-33	46	0
8100	-33	44	6
8200	-29	46	0
8300	-25	38	0
8400	-25	37	3
8500	-26	41	-4
8600	-19	33	0
8700	-24	34	3
8800	-20	35	0
8900	-19	28	6
9000	-21	37	0
9100	-15	32	0
9200	-19	24	9
9300	-16	33	0
9400	-14	29	0
9500	-18	24	6
9600	-16	32	0
9700	-12	27	7
9800	-19	31	3
9900	-20	38	-4
10000	-17	28	6
10100	-23	34	0
10200	-20	35	-13
10300	-19	31	8
10400	-26	39	0
10500	-23	35	0
10600	-22	34	9
10700	-33	45	0
10800	-22	41	0
10900	-33	47	12
11000	-36	51	0
11100	-35	47	6
11200	-43	50	0
11300	-42	58	0
11400	-45	55	9
11500	-52	65	0
11600	-53	67	0
11700	-58	63	8
11800	-68	78	0
11900	-66	78	0
12000	-73	82	6
12100	8	-109	121
12200	12	65	-58
12300	8	75	-58
12400	8	77	-65
12500	12	62	-53
12600	7	63	-57
12700	12	61	-52
12800	12	50	-38
12900	10	54	-46
13000	11	51	-39
13100	9	44	-30
13200	5	46	-38
13300	14	40	-28
13400	8	37	-25
13500	8	40	-34
13600	12	33	-20
13700	6	34	-24
13800	11	32	-33
13900	9	18	-14
14000	2	32	-25
14100	11	29	-16
14200	8	28	-12
14300	5	32	-21
14400	12	24	-11
14500	7	28	-12
14600	10	29	-16
14700	12	20	-10
14800	5	27	-16
14900	10	27	-16
15000	8	21	-9
15100	5	32	-20
15200	12	29	-13
15300	9	24	-16
15400	8	35	-26
15500	12	29	-17
15600	6	34	-25
15700	10	38	-29
15800	12	36	-19
15900	4	41	-32
16000	12	43	-33
16100	9	44	-30
16200	5	51	-44
16300	12	52	-39
16400	7	50	-38
16500	8	61	-53
16600	12	58	-46
16700	6	63	-51
16800	12	77	-68
16900	12	73	-56
17000	-123	8	132
17100	74	6	-55
17200	78	5	-58
17300	76	9	-66
17400	74	4	-52
17500	66	0	-48
17600	63	9	-49
17700	64	2	-37
17800	52	8	-38
17900	55	6	-41
18000	53	2	-28
18100	44	8	-35
18200	49	6	-29
18300	45	0	-19
18400	37	12	-31
18500	41	4	-20
18600	33	7	-19
18700	36	9	-23
18800	38	4	-14
18900	29	8	-16
19000	31	9	-20
19100	32	4	-6
19200	24	-1	-16
19300	31	4	-7
19400	25	0	0
19500	24	9	-16
19600	32	3	-4
19700	25	0	-9
19800	24	12	-16
19900	32	5	-2
20000	29	7	-18
20100	33	6	-13
20200	32	5	-9
20300	20	9	-24
20400	38	4	-15
20500	35	8	-19
20600	37	12	-27
20700	45	2	-20
20800	42	8	-25
20900	50	8	-36
21000	51	2	-29
21100	49	8	-38
21200	57	6	-39
21300	59	5	-38
21400	63	12	-53
21500	70	4	-52
21600	70	0	-51
21700	76	9	-65
21800	-107	126	8
21900	73	-55	3
22000	86	-62	-4
22100	83	-66	8
22200	72	-56	0
22300	73	-51	0
22400	67	-52	6
22500	60	-41	0
22600	61	-42	8
22700	51	-39	19
22800	50	-25	-7
22900	51	-29	9
23000	43	-26	0
23100	44	-25	0
23200	41	-26	8
23300	34	-16	0
23400	37	-19	0
23500	38	-26	9
23600	24	-14	0
23700	37	-17	0
23800	32	-15	6
23900	31	-9	0
24000	33	-16	7
24100	29	-10	1
24200	31	-9	0
24300	38	-16	7
24400	31	-11	0
24500	33	-12	0
24600	32	-15	8
24700	31	-8	0
24800	37	-14	0
24900	33	-16	4
25000	37	-16	-4
25100	41	-23	5
