# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	5	68	-61
100	11	60	-52
200	8	57	-43
300	8	58	-49
400	12	51	-36
500	5	50	-38
600	10	51	-39
700	12	41	-28
800	5	41	-32
900	12	38	-28
1000	9	34	-21
1100	5	38	-31
1200	11	33	-26
1300	7	36	-12
1400	8	38	-28
1500	12	28	-16
1600	6	31	-19
1700	10	32	-20
1800	12	24	-14
1900	5	29	-20
2000	9	29	-15
2100	9	28	-11
2200	5	29	-21
2300	12	25	-13
2400	8	29	-12
2500	10	33	-23
2600	14	26	-13
2700	7	23	-20
2800	12	32	-36
2900	12	15	-16
3000	5	37	-25
3100	12	33	-23
3200	9	37	-22
3300	7	41	-33
3400	12	40	-26
3500	7	44	-30
3600	10	51	-39
3700	12	44	-33
3800	5	53	-43
3900	10	58	-52
4000	12	53	-41
4100	5	65	-58
4200	19	66	-55
4300	6	70	-58
4400	5	83	-82
4500	-116	4	140
4600	68	7	-56
4700	79	8	-66
4800	78	4	-53
4900	68	8	-58
5000	66	8	-52
5100	64	5	-38
5200	70	9	-47
5300	58	4	-36
5400	52	0	-37
5500	50	9	-36
5600	51	4	-22
5700	45	8	-32
5800	47	9	-29
5900	41	0	-19
6000	41	9	-29
6100	40	4	-16
6200	33	0	-16
6300	34	9	-23
6400	35	2	-13
6500	27	8	-12
6600	31	12	-16
6700	29	5	-4
6800	24	7	-16
6900	27	6	-13
7000	27	5	-6
7100	24	9	-16
7200	32	4	-7
7300	26	0	-9
7400	29	9	-15
7500	32	2	-6
7600	27	9	-17
7700	33	6	-13
7800	38	5	-12
7900	34	9	-25
8000	40	4	-20
8100	38	5	-17
8200	41	8	-29
8300	51	0	-26
8400	45	0	-32
8500	50	12	-39
8600	58	2	-30
8700	50	12	-48
8800	62	6	-42
8900	64	5	-41
9000	66	10	-58
9100	77	4	-52
9200	77	0	-58
9300	-110	132	-2
9400	77	-59	7
9500	79	-65	0
9600	82	-60	8
9700	77	-58	9
9800	66	-49	0
9900	68	-48	0
10000	61	-45	6
10100	50	-35	-5
10200	58	-38	0
10300	55	-33	3
10400	50	-25	-4
10500	51	-33	9
10600	41	-23	0
10700	42	-22	-4
10800	41	-21	8
10900	34	-16	0
11000	39	-19	0
11100	33	-16	6
11200	33	-12	0
11300	35	-17	0
11400	30	-13	3
11500	34	-11	0
11600	33	-18	12
11700	28	-7	0
11800	28	0	0
11900	32	-7	8
12000	28	-9	0
12100	36	-15	0
12200	32	-15	6
12300	31	-12	0
12400	38	-20	0
12500	34	-20	3
12600	37	-17	-4
12700	41	-26	6
12800	37	-21	0
12900	44	-22	-4
13000	45	-29	8
13100	44	-26	0
13200	58	-35	0
13300	58	-39	6
13400	55	-35	0
13500	58	-44	0
13600	58	-42	3
13700	66	-41	-4
13800	70	-53	6
13900	68	-52	1
14000	76	-58	0
14100	80	-65	9
14200	82	-64	0
14300	93	-72	0
14400	8	134	-128
14500	8	-51	55
14600	16	-65	74
14700	5	-59	64
14800	12	-58	57
14900	12	-58	64
15000	5	-45	51
15100	12	-45	50
15200	8	-45	54
15300	8	-38	41
15400	12	-41	47
15500	7	-39	41
15600	12	-32	37
15700	12	-36	45
15800	5	-29	33
15900	12	-25	36
16000	12	-33	38
16100	12	-22	27
16200	15	-24	34
16300	12	-26	32
16400	8	-19	23
16500	12	-24	29
16600	6	-20	25
16700	10	-19	21
16800	12	-21	30
16900	5	-16	19
17000	8	-16	21
17100	6	-20	27
17200	5	-13	18
17300	12	-18	24
17400	8	-16	25
17500	12	-12	18
17600	14	-19	31
17700	9	-17	25
17800	11	-16	21
17900	9	-26	32
18000	5	-20	26
18100	13	-24	31
18200	9	-28	35
18300	8	-24	26
18400	12	-31	37
18500	7	-33	38
18600	8	-32	34
18700	12	-39	45
18800	5	-39	45
18900	13	-44	49
19000	12	-52	59
19100	5	-49	51
19200	12	-58	63
19300	9	-65	70
19400	0	-61	64
19500	135	4	-123
19600	-51	7	51
19700	-56	9	55
19800	-51	4	62
19900	-55	14	46
20000	-41	6	47
20100	-45	0	51
20200	-39	9	33
20300	-29	4	41
20400	-30	8	38
20500	-26	12	26
20600	-19	4	34
20700	-23	10	25
20800	-16	6	24
20900	-12	0	27
21000	-16	9	13
21100	-9	6	18
21200	-12	5	19
21300	-10	9	8
21400	-4	4	15
21500	-10	8	12
21600	-7	9	7
21700	0	4	14
21800	-8	8	6
21900	-4	6	8
22000	0	12	16
22100	-13	10	6
22200	-3	6	15
22300	-10	8	19
22400	-13	9	10
22500	-9	4	20
22600	-16	8	19
22700	-14	9	18
22800	-16	2	29
22900	-21	7	19
23000	-23	6	24
23100	-25	0	38
23200	-33	9	29
23300	-30	6	37
23400	-37	8	41
23500	-39	12	39
23600	-38	2	50
23700	-47	8	51
23800	-52	12	44
23900	-51	4	62
24000	-56	12	59
24100	139	-125	0
24200	-60	70	8
24300	-66	83	0
24400	-62	74	0
24500	-62	73	6
24600	-55	72	0
24700	-48	62	7
24800	-51	62	0
24900	-43	58	28
25000	-38	49	8
25100	-41	53	0
25200	-33	51	0
25300	-32	37	6
25400	-33	51	0
25500	-27	39	0
25600	-29	41	3
25700	-26	41	-2
25800	-22	33	10
25900	-26	40	1
26000	-20	38	-16
26100	-19	29	9
26200	-26	35	0
26300	-17	32	0
26400	-19	31	9
26500	-16	35	1
26600	-9	26	0
26700	-12	31	0
26800	-15	32	-4
26900	-12	24	9
27000	-20	32	0
27100	-14	29	0
27200	-17	29	6
27300	-23	35	0
27400	-18	30	0
27500	-23	34	3
27600	-23	40	-2
27700	-22	36	0
27800	-28	39	1
27900	-26	40	5
28000	-25	37	4
28100	-36	46	0
28200	-30	45	0
28300	-34	50	6
28400	-39	54	-8
28500	-38	49	7
28600	-47	57	3
28700	-46	61	-4
28800	-48	60	8
28900	-56	70	0
29000	-56	70	0
29100	-64	76	6
29200	-71	84	0
29300	-70	82	0
29400	7	-116	128
29500	10	67	-58
29600	12	66	-52
29700	5	75	-64
29800	14	70	-66
29900	8	58	-45
30000	-4	62	-51
30100	12	53	-41
30200	7	50	-37
30300	8	54	-42
30400	12	44	-30
30500	5	45	-34
30600	10	45	-29
30700	12	34	-22
30800	5	40	-30
30900	11	34	-26
31000	8	34	-19
31100	8	38	-29
31200	12	20	-13
31300	9	30	-19
31400	12	32	-24
31500	12	24	-12
31600	5	29	-19
31700	11	27	-16
31800	12	15	-9
31900	5	31	-20
32000	11	25	-13
32100	8	24	-11
32200	8	30	-22
32300	12	25	-11
32400	7	30	-19
32500	12	32	-23
32600	12	28	-14
32700	5	24	-25
32800	9	32	-26
32900	9	34	-19
33000	8	41	-31
33100	12	36	-21
33200	6	42	-25
33300	8	46	-39
33400	12	42	-31
33500	5	50	-38
33600	11	54	-21
33700	12	50	-38
33800	7	61	-51
33900	11	64	-52
34000	8	66	-51
