# Time [us]	PORT_Mip_Volt_DCLink	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	--------------------	-------------------	-------------------
0	9861	-99	0
100	9893	-85	0
200	9887	-52	12
300	9912	-16	0
400	9880	8	10
500	9848	29	3
600	9893	32	0
700	9867	7	7
800	9861	-15	3
900	9893	-51	8
1000	9867	-103	12
1100	9861	-138	0
1200	9874	-188	0
1300	9835	-242	6
1400	9893	497	-500
1500	9880	18	-17
1600	9899	-103	106
1700	9919	-87	82
1800	9867	-65	58
1900	9861	-19	19
2000	9893	4	-4
2100	9842	24	-24
2200	9861	45	-47
2300	9867	28	-29
2400	9861	-4	3
2500	9899	-38	34
2600	9867	-92	91
2700	9861	-135	130
2800	9893	-193	169
2900	9867	-242	219
3000	9861	14	-558
3100	9919	6	-60
3200	9887	0	103
3300	9861	12	70
3400	9880	7	49
3500	9861	8	6
3600	9893	9	-26
3700	9867	2	-35
3800	9861	0	-51
3900	9919	6	-29
4000	9874	0	22
4100	9861	9	58
4200	9893	6	111
4300	9854	0	154
4400	9835	9	194
4500	9880	-470	0
4600	9861	50	6
4700	9932	148	-2
4800	9874	120	9
4900	9861	87	0
5000	9893	51	0
5100	9842	18	9
5200	9861	-1	0
5300	9893	-21	0
5400	9861	-20	6
5500	9899	9	-4
5600	9867	34	7
5700	9784	82	3
5800	9899	128	0
5900	9867	160	16
6000	9861	205	27
6100	9893	241	57
6200	9867	-538	568
6300	9912	-64	82
6400	9880	91	-81
6500	9848	87	-64
6600	9861	58	-44
6700	9867	21	-4
6800	9938	0	17
6900	9906	-12	34
7000	9867	-26	48
7100	9861	0	14
7200	9893	35	-16
7300	9867	73	-51
7400	9861	122	-108
7500	9880	163	-147
7600	9861	215	-192
7700	9912	9	482
7800	9893	6	-14
7900	9912	0	-119
8000	9912	12	-103
8100	9867	2	-58
8200	9861	8	-29
8300	9893	6	8
8400	9848	5	38
8500	9861	9	51
8600	9893	4	60
8700	9854	5	29
8800	9861	9	-28
8900	9874	5	-69
9000	9861	0	-114
9100	9861	25	-174
9200	9867	41	-225
9300	9861	537	12
9400	9919	19	10
9500	9867	-120	6
9600	9861	-91	0
9700	9880	-61	0
9800	9861	-26	6
9900	9861	6	0
10000	9867	18	8
10100	9861	31	3
10200	9899	25	-4
10300	9867	-13	9
10400	9861	-44	0
10500	9899	-87	0
10600	9887	-132	12
10700	9861	-173	0
10800	9893	-224	0
10900	9874	489	-483
11000	9899	3	-7
11100	9867	-121	121
11200	9861	-97	93
11300	9906	-64	44
11400	9867	-33	33
11500	9861	0	0
11600	9893	19	-23
11700	9867	34	-33
11800	9861	40	-43
11900	9893	4	-4
12000	9861	-33	35
12100	9906	-75	70
12200	9893	-128	128
12300	9861	-178	162
12400	9919	-232	203
12500	9867	12	-543
12600	9861	10	-41
12700	9906	6	102
12800	9874	0	93
12900	9861	10	45
13000	9893	6	15
13100	9848	0	-9
13200	9861	12	-44
13300	9880	5	-47
13400	9861	8	-38
13500	9912	12	2
13600	9893	2	58
13700	9861	8	103
13800	9906	9	139
13900	9867	4	194
14000	9861	-460	0
14100	9893	72	0
14200	9848	153	6
14300	9861	132	0
14400	9880	90	0
14500	9861	60	6
14600	9906	29	-4
14700	9867	0	7
14800	9861	-13	1
14900	9906	-22	0
15000	9867	-7	8
15100	9861	31	0
15200	9893	69	0
15300	9867	118	7
15400	9861	159	0
